CERT,NAME,CITY,STNAME,ZIP,ADDRESS,BKCLASS,CHARTER,ACTIVE,INSDATE,REGAGENT,ASSET,DEP,LATITUDE,LONGITUDE,WEBADDR
1022,"Clare Bank, National Association",Platteville,Wisconsin,53818,345 W Pine St,N,15649,1,01/01/1934,,319842,262880,42.7332870162713,-90.4821390148635,www.clarebank.com
10236,The Goose River Bank,Mayville,North Dakota,58257,44 Main St W,NM,0,1,01/01/1934,,178745,153637,47.5001690199134,-97.3273919882846,www.gooseriverbank.com
10243,First State Bank of Golva,Golva,North Dakota,58632,410 Terrell Ave,NM,0,1,04/01/1934,,112367,104909,46.7355673333217,-103.983503800582,fsbofgolva.com
10248,First International Bank & Trust,Watford City,North Dakota,58854,100 N Main St,NM,0,1,01/01/1934,,5680943,4998240,47.8017400055201,-103.282710976565,www.fibt.com
10250,Peoples State Bank of Velva,Velva,North Dakota,58790,101 Main St N,NM,0,1,01/01/1934,,187144,164937,48.0574797903823,-100.929461612171,www.psbvelva.com
10253,First Security Bank - West,Beulah,North Dakota,58523,100 E Main St,NM,0,1,01/01/1934,,67874,59940,47.263537337463,-101.777885496829,www.firstsecuritybanks.com
10255,The Old Fort Banking Company,Old Fort,Ohio,44861,8034 Main St,NM,0,1,01/01/1934,,870722,808754,41.2404690129871,-83.1500559687382,http://www.oldfortbank.com
10266,The Citizens Bank Company,Beverly,Ohio,45715,501 5th St,NM,0,1,01/01/1934,,331901,290488,39.549209996848,-81.6310410395409,www.thecitizens.com
1027,Fm Bank And Trust,Blytheville,Arkansas,72315,400 W Main St,SM,0,1,01/01/1934,,582391,513568,35.927793977749,-89.907253780359,www.fbtbly.com
1028,FBT Bank & Mortgage,Fordyce,Arkansas,71742,200 W 4th St,SM,0,1,01/01/1934,,258080,217351,33.8133066025624,-92.4143795074962,www.fbtbank.com
10280,The Farmers and Merchants Bank,Caldwell,Ohio,43724,430 North St,NM,0,1,01/01/1934,,130309,110939,39.7479359944109,-81.5164050187526,www.thefarmersmerchants.bank
10307,Builtwell Bank,Chattanooga,Tennessee,37402,728 Broad St,NM,0,1,01/01/1934,,2335891,2000445,35.047433173772,-85.310201246902,www.builtwell.bank
10308,The Bank of Fayette County,Piperton,Tennessee,38017,1265 Highway 57,SM,0,1,01/01/1934,,1076725,928518,35.0487430137809,-89.6208820350565,www.thebank1905.com
10315,Bank of Halls,Halls,Tennessee,38040,101 E Main St,SM,0,1,01/01/1934,,129080,117522,35.8751920032665,-89.3958339697662,www.bankofhalls.com
10317,Citizens Bank and Trust Company of Grainger County,Rutledge,Tennessee,37861,8335 Rutledge Pike,NM,0,1,01/01/1934,,267325,237716,36.2826589896729,-83.5090890077451,www.cbtgrainger.com
10319,Citizens Savings Bank and Trust Company,Nashville,Tennessee,37208,2013 Jefferson St,NM,0,1,01/01/1934,,187819,168834,36.1686369852017,-86.8098859986336,www.bankcbn.com
10327,Citizens State Bank of Luling,Luling,Texas,78648,200 S Magnolia Ave,NM,0,1,01/01/1934,,67711,55895,29.6793199794736,-97.6481700211988,www.csbsa.com
10330,Commercial State Bank,Palmer,Texas,75152,8045 N Interstate 45 Service Rd,NM,0,1,01/01/1934,,126323,113403,32.4336540151544,-96.6612859986077,www.csbpalmer.com
10344,Schertz Bank & Trust,Schertz,Texas,78154,519 Main St,NM,0,1,01/01/1934,,770162,661252,29.5534460058219,-98.2702319595358,www.schertzbank.com
10345,Peoples State Bank,Shepherd,Texas,77371,5850 Highway 59 S,NM,0,1,01/01/1934,,175963,148386,30.4922599355385,-94.9930587373367,www.psbtexas.com
